(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;;;Armstroff;Dörthe;w;1958;67475;Weidenthal;RP;Zeitz;DE;Fotografin;23;Bewerber;Bund;99;Bundesgebiet;Bund;III. Weg;DER DRITTE WEG;4;;;;;;;;
EP;26.05.2019;;;Armstroff;Klaus Dieter;m;1957;67475;Weidenthal;RP;Jena;DE;Elektriker;26;Bewerber;Bund;99;Bundesgebiet;Bund;III. Weg;DER DRITTE WEG;1;;;;;;;;
EP;26.05.2019;;;Arndt;Hans Gerd;m;1957;67067;Ludwigshafen am Rhein;RP;Eitorf;DE;Kraftwerksmeister;26;Bewerber;Bund;99;Bundesgebiet;Bund;FREIE WÄHLER;FREIE WÄHLER;24;;;;;;;;
EP;26.05.2019;;;Arndt;Hans-Joachim;m;1964;13403;Berlin;BE;Bad Schwartau;DE;Pensionär;05;Bewerber;Bund;99;Bundesgebiet;Bund;Die Grauen;Die Grauen – Für alle Generationen;11;;;;;;;;
EP;26.05.2019;;;Asbeck;Stefan;m;1987;80939;München;BY;Landau a.d.Isar;DE;Softwareentwickler;43;Bewerber;Bund;99;Bundesgebiet;Bund;Gesundheitsforschung;Partei für Gesundheitsforschung;15;;;;;;;;
EP;26.05.2019;;;Asi;Ferhat;m;1992;49078;Osnabrück;NI;Derik, Türkei;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;142;;;;;;;;
EP;26.05.2019;;;Assaeva;Madina;w;1989;24106;Kiel;SH;Frunse;DE;Angestellte;71;Bewerber;Land;01;Schleswig-Holstein;SH;CDU;Christlich Demokratische Union Deutschlands;8;;;;;;;;
EP;26.05.2019;;;Atkinson;Richard John Marl;m;1960;78315;Radolfzell am Bodensee;BW;Beaconsfield, England;DE;Ingenieur;27;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;107;;;;;;;;
EP;26.05.2019;;;Austria-Zink;Hans Günter;m;1945;53757;Sankt Augustin;NW;Braubach;DE;Großhandelskaufmann;61;Bewerber;Bund;99;Bundesgebiet;Bund;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;8;;;;;;;;
EP;26.05.2019;;;Aydin;Melis;w;1992;66333;Völklingen;SL;Völklingen;DE;Studentin;04;Bewerber;Land;10;Saarland;SL;CDU;Christlich Demokratische Union Deutschlands;10;;;;;;;;
EP;26.05.2019;;;Aydin;Tufan;m;1988;47475;Kamp-Lintfort;NW;Moers;DE;Rechtsanwaltsfachangestellter;73;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;18;;;;;;;;
EP;26.05.2019;;;Ayhan;Nevin;w;1975;59073;Hamm;NW;Unna;DE;Angestellte ö. D.;73;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;34;;;;;;;;
EP;26.05.2019;;;Azak;Canan;w;1975;56626;Andernach;RP;Hagen;DE;Ärztin;81;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;7;;;;;;;;
EP;26.05.2019;;;Azbak;Caffer;m;1971;65760;Eschborn;HE;Berlin;DE;Dipl.-Kaufmann;61;Bewerber;Bund;99;Bundesgebiet;Bund;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;1;;;;;;;;
EP;26.05.2019;;;Azbak;Sahin;m;1968;12305;Berlin;BE;Erzincan, Türkei;DE;Angestellter;71;Bewerber;Bund;99;Bundesgebiet;Bund;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;6;;;;;;;;
EP;26.05.2019;Dr.;;Babendererde;Cornell-Anette;w;1971;21423;Winsen (Luhe);NI;Neumünster;DE;Angestellte;71;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;11;;;;;;;;
EP;26.05.2019;;;Backes-Ternig;Kerstin;w;1971;66640;Namborn;SL;St. Wendel;DE;Realschullehrerin;84;Bewerber;Land;10;Saarland;SL;CDU;Christlich Demokratische Union Deutschlands;8;;;;;;;;
EP;26.05.2019;;;Bader;Theres;w;1991;09111;Chemnitz;SN;Oelsnitz/Vogtl.;DE;Studentin;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;33;;;;;;;;
EP;26.05.2019;;;Baer;Karin Luise;w;1961;75242;Neuhausen;BW;Pforzheim;DE;selbst. Erzieherin;83;Bewerber;Bund;99;Bundesgebiet;Bund;Graue Panther;Graue Panther;4;;;;;;;;
EP;26.05.2019;;;Balke;Ralf Peter;m;1963;28755;Bremen;HB;Bremen;DE;Stintfischer;11;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;60;;;;;;;;
EP;26.05.2019;;;Bammel;Hendrik;m;1997;38640;Goslar;NI;Salzgitter;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;87;;;;;;;;
EP;26.05.2019;;;Barazi;Julian;m;1992;72070;Tübingen;BW;Tübingen;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;119;;;;;;;;
